"!!startBlock|||||																									"
"ofi1_host_fri1|Te quería pedir que llames a Gomez, si estás libre, y le avises que lo suyo se demora tres días más. ||Ya le aviso.||ofi1_host_fri2																									"
"|||Ahí llamo. ¿Podemos conversar un tema que tengo?||ofi1_host_fri3																									"
"ofi1_host_fri2|Si, decile que se demoró un proveedor.|¿Alguna otra cosa?||ofi1_host_fri4																									"
"ofi1_host_fri4|Avisale que lo que me mandó llegó bien. Nada más.||Perfecto, le digo todo.||																									"
"|||Le digo. ¿Podemos conversar un tema personal mio?||ofi1_host_fri3																									"
"ofi1_host_fri3|Sí, por supuesto. ¿Qué te anda pasando?||Tengo problemas familiares y por ahí algún día llego tarde.||ofi1_host_fri5																									"
"|||Tengo un problema de salud.||ofi1_host_fri7																									"
ofi1_host_fri5|Gracias por avisarme. ¿Necesitás algo? ¿Un adelanto del sueldo?||No, por ahora no, gracias.||ofi1_host_fri6
ofi1_host_fri6|Bueno, cualquier cosa me decís. Y si llegás a necesitar otra cosa y te puedo ayudar, avisame.||Gracias, en serio.||
"ofi1_host_fri7|Que feo, es horrible sentirse mal. ¿Qué tenés? ¿Necesitás pedir licencia?||Me dio positivo el test de VIH.||ofi1_host_fri8																									"
"|||No, no necesito licencia, es anemia.||ofi1_host_fri9																									"
ofi1_host_fri9|Ah, si, me imagino que te debés sentir mal, mi prima tuvo. Bueno, lo que necesites, pedime.||Estoy bien, un poco cansado nada más.||ofi1_host_fri11
"ofi1_host_fri8|Gracias por confiar en mi para decirmelo.||Si, ya sé que es confidencial, pero pensé que no había problema si lo decía.||ofi1_host_fri10																									"
|||Es que pensé que lo tendría que decir acá en el trabajo.||ofi1_host_fri12
ofi1_host_fri10|Claro, por eso te agradezco. Cualquier cosa que necesites, decime.||Gracias.||ofi1_host_fri13
ofi1_host_fri12|No, ¡para nada! Tu diagnóstico es tuyo, y tu libertad de decirlo también. ||ofi1_host_fri13
ofi1_hosl_fri11|Tomate el resto del día si querés.||No, en serio, estoy bien, por ahí me tome algún otro día.
"ofi1_host_fri13|No te voy a decir ""no te preocupes"", porque es obvio que preocuparte te vas a preocupar, es tu salud. Te voy a decir que la gente convive con VIH y si se cuida, puede llevar una vida plena.||Si, sé que me tengo que cuidar y tomar la medicación todos los días.||ofi1_host_fri14"
ofi1_host_fri14|Si, eso, que no decaiga ese ánimo. Ah, y no te olvides de llamar a Gomez por favor.
"!!endBlock||||||																									"
