!!startBlock|||||
fam1_host_rej1|¡Hola! Llegá a la hora que te parezca, dale, total esto es un hotel.  ¿Dónde estabas?||Nada. Haciendo cosas.||fam1_host_rej2
|||No importa. Tenemos que hablar.|||fam1_host_rej3
fam1_host_rej2|¿Cosas? ¡Tan vago me saliste! Tendrías que estar ayudando en la casa.||Tengo cosas más importantes en la cabeza.||fam1_host_rej4
fam1_host_rej4|¿Qué es más importante que tus obligaciones?||No importa, no entenderías.||fam1_host_rej5
|||Sentate, tenemos que hablar.||fam1_host_rej3
fam1_host_rej5|Tenía razón, seguro andabas vagando con esos amiguitos tuyos.||Tenés razón, mejor me voy a hacer algo productivo.||fam1_host_rej6
fam1_host_rej6|||Andá, a ver si todavía me podés salir bueno.||
fam1_host_rej3|¿De qué tenemos que hablar? Más te vale que no sean excusas para llegar a la hora que se te da la gana.|| De nada, dejá.||fam1_host_rej5
|||Me hice el estudio de VIH. Soy positivo.||fam1_host_rej7
fam1_host_rej7|¿Qué? ¿Qué estás diciendo? ¿Tenés SIDA? Me muero, ¡nos vamos a contagiar todos y nos vamos a morir por tu culpa!||¡No! No quise decir eso. Nadie se va a morir, no te voy a contagiar por respirarte encima.||fam1_host_rej8
|||No tendría que haberte dicho nada. Nunca vas a entender.|||fam1_host_rej9
fam1_host_rej9|||¿Por qué Dios me castiga así?||
fam1_host_rej8|¡Más te vale que no me pegues nada! ¡Vos nunca pensás en tu familia!||Mirá, te dejo un folleto, cuando te calmes, mejor leelo.|||fam1_host_rej10
fam1_host_rej10|||¿Por qué nos pasa esto? Si no somos como esas familias...||
!!endBlock|||||
